gloss,handshape
_UNKNOWN_,_UNKNOWN_
_NOTHING_,_NOTHING_
1,1
D,d
L,l
Bent-X,X
X,x
Bent-L,L
Open-G_Small-C,G
Small-O,T
T,t
G,g
Closed-G,F
F,f
V,v
3,3
Bent-V,V
Bent-3,W
U,u
13,H
Bent-U,U
Flat-N,N
N,n
K,k
23,K
R,r
Open-R,R
4,4
5,5
Bent-4,E
Bent-5  Claw,S
Flat-5,Q
B,b
Open-B,B
C,c
Open-C,C
Bent-B,M
O,o
Flat-O,O
E,e
S,s
A,a
Open-A,A
W,w
M,m
7,7
8,8
Open-8,D
25,P
1-I,I
L-I,Y
I,i
Y,y
